#ID	LotArea	SalePrice
0	0	0
1	1300	124000
2	1477	80000
3	1491	75500
4	1526	86000
5	1533	97000
6	1533	92000
7	1596	91000
8	1680	112000
9	1680	94500
10	1680	89500
11	1680	118000
12	1680	85400
13	1680	88000
14	1680	100000
15	1680	118000
16	1680	91500
17	1680	119500
18	1869	106000
19	1890	81000
20	1890	113000
21	1920	122500
22	1936	84500
23	1950	151000
24	1953	83000
25	1974	83500
26	2001	75000
27	2016	106000
28	2117	177000
29	2117	168500
30	2117	177500
31	2160	160000
32	2217	88000
33	2268	173000
34	2280	148500
35	2280	179400
36	2280	146000
37	2289	148500
38	2308	147000
39	2308	155000
40	2368	125000
41	2448	154000
42	2500	155000
43	2522	130000
44	2522	130000
45	2522	137500
46	2544	147400
47	2572	155000
48	2592	85000
49	2628	175500
50	2645	172500
51	2645	174000
52	2651	165000
53	2665	115000
54	2665	127000
55	2887	173000
56	3000	173733
57	3010	167240
58	3013	213490
59	3072	178740
60	3136	171750
61	3180	151000
62	3180	144152
63	3182	192500
64	3182	192000
65	3182	151000
66	3182	160200
67	3182	159895
68	3182	181000
69	3182	191000
70	3196	234000
71	3196	215000
72	3230	176000
73	3230	172500
74	3316	197000
75	3363	130000
76	3378	135000
77	3500	110000
78	3600	114504
79	3604	146000
80	3635	175900
81	3636	55000
82	3675	148000
83	3675	140000
84	3675	145000
85	3684	174000
86	3696	170000
87	3735	183900
88	3842	275000
89	3880	110500
90	3922	172500
91	3922	194201
92	3950	115000
93	3951	164500
94	3964	151400
95	3982	264561
96	4017	171900
97	4043	140000
98	4043	127500
99	4045	246578
100	4058	133000
101	4060	99900
102	4060	181000
103	4118	52500
104	4130	52000
105	4224	129900
106	4224	134000
107	4230	208900
108	4251	164700
109	4270	79000
110	4274	199900
111	4280	90350
112	4282	196000
113	4388	87000
114	4400	116000
115	4403	222000
116	4426	141000
117	4426	143000
118	4426	149300
119	4435	140000
120	4435	131500
121	4435	155900
122	4435	144000
123	4435	136500
124	4438	149000
125	4438	144500
126	4456	113000
127	4500	153500
128	4500	164000
129	4500	159434
130	4500	162000
131	4500	165000
132	4571	98000
133	4590	209500
134	4608	80000
135	4671	189000
136	4712	121600
137	4750	235000
138	4800	109900
139	4920	213500
140	4923	286000
141	4928	128000
142	4928	143750
143	5000	79000
144	5000	87000
145	5000	127000
146	5000	159000
147	5000	39300
148	5001	230000
149	5062	207500
150	5063	207500
151	5100	161000
152	5105	148800
153	5119	328900
154	5232	73000
155	5250	122000
156	5271	190000
157	5306	239000
158	5310	117000
159	5330	251000
160	5330	82500
161	5350	76500
162	5362	139000
163	5381	196000
164	5389	236500
165	5395	180000
166	5400	152000
167	5400	108480
168	5400	86000
169	5400	117000
170	5400	105000
171	5436	125500
172	5500	103200
173	5500	130000
174	5520	104000
175	5586	79900
176	5587	392500
177	5600	55000
178	5604	98000
179	5664	278000
180	5684	110000
181	5687	135900
182	5700	116900
183	5720	66500
184	5784	91300
