#Daten
#LotArea	SalePrice
0	0
1300	124000
1477	80000
1491	75500
1526	86000
1533	97000
1533	92000
1596	91000
1680	112000
1680	94500
1680	89500
1680	118000
1680	85400
1680	88000
1680	100000
1680	118000
1680	91500
1680	119500
1869	106000
1890	81000
1890	113000
1920	122500
1936	84500
1950	151000
1953	83000
1974	83500
2001	75000
2016	106000
2117	177000
2117	168500
2117	177500
2160	160000
2217	88000
2268	173000
2280	148500
2280	179400
2280	146000
2289	148500
2308	147000
2308	155000
2368	125000
2448	154000
2500	155000
2522	130000
2522	130000
2522	137500
2544	147400
2572	155000
2592	85000
2628	175500
2645	172500
2645	174000
2651	165000
2665	115000
2665	127000
2887	173000
3000	173733
3010	167240
3013	213490
3072	178740
3136	171750
3180	151000
3180	144152
3182	192500
3182	192000
3182	151000
3182	160200
3182	159895
3182	181000
3182	191000
3196	234000
3196	215000
3230	176000
3230	172500
3316	197000
3363	130000
3378	135000
3500	110000
3600	114504
3604	146000
3635	175900
3636	55000
3675	148000
3675	140000
3675	145000
3684	174000
3696	170000
3735	183900
3842	275000
3880	110500
3922	172500
3922	194201
3950	115000
3951	164500
3964	151400
3982	264561
4017	171900
4043	140000
4043	127500
4045	246578
4058	133000
4060	99900
4060	181000
4118	52500
4130	52000
4224	129900
4224	134000
4230	208900
4251	164700
4270	79000
4274	199900
4280	90350
4282	196000
4388	87000
4400	116000
4403	222000
4426	141000
4426	143000
4426	149300
4435	140000
4435	131500
4435	155900
4435	144000
4435	136500
4438	149000
4438	144500
4456	113000
4500	153500
4500	164000
4500	159434
4500	162000
4500	165000
4571	98000
4590	209500
4608	80000
4671	189000
4712	121600
4750	235000
4800	109900
4920	213500
4923	286000
4928	128000
4928	143750
5000	79000
5000	87000
5000	127000
5000	159000
5000	39300
5001	230000
5062	207500
5063	207500
5100	161000
5105	148800
5119	328900
5232	73000
5250	122000
5271	190000
5306	239000
5310	117000
5330	251000
5330	82500
5350	76500
5362	139000
5381	196000
5389	236500
5395	180000
5400	152000
5400	108480
5400	86000
5400	117000
5400	105000
5436	125500
5500	103200
5500	130000
5520	104000
5586	79900
5587	392500
5600	55000
5604	98000
5664	278000
5684	110000
5687	135900
5700	116900
5720	66500
5784	91300
5790	107400
5814	187500
5820	126175
5825	79900
5868	129000
5890	120500
5900	85500
5925	89471
5925	37900
6000	115000
6000	119000
6000	120000
6000	112500
6000	93000
6000	89000
6000	107900
6000	93000
6000	102000
6000	110500
6000	128000
6000	117000
6000	132500
6000	108500
6000	134900
6000	131000
6000	120000
6040	82000
6060	100000
6120	129900
6120	132000
6120	105000
6120	133000
6120	60000
6120	141500
6120	88000
6120	137500
6130	109500
6155	128000
6171	137450
6173	125500
6180	102000
6204	118500
6240	114500
6240	115000
6240	162900
6240	254000
6240	103000
6240	149000
6240	80500
6240	127500
6270	145000
6292	145000
6292	91000
6300	128000
6305	119750
6324	68500
6342	94000
6371	224000
6380	113000
6402	78000
6420	123500
6435	140200
6442	202500
6563	275000
6600	138000
6600	109500
6600	107500
6600	130500
6627	72500
6629	103600
6762	195400
6762	206000
6762	193879
6768	142000
6780	84500
6792	202665
6820	212000
6853	220000
6858	128000
6882	127000
6897	127000
6900	120500
6911	100000
6930	130000
6931	165400
6951	119500
6955	202500
6960	120500
6970	129000
6979	144000
6993	135000
7000	112000
7000	107500
7000	136500
7000	135000
7015	110000
7018	118964
7018	153337
7018	118858
7018	142953
7024	157000
7024	176000
7032	135960
7050	226000
7052	185850
7056	140000
